year,region,location_type,Total number of businesses,Total revenue,avg_revenue_per_business,estimated_profit
2017,Alberta,Functional urban area,207529.0,405000.0,1.9515344843371287,0.2927301726505693
2017,Alberta,Rural and small town area,53743.0,456600.0,8.495990175464712,1.2743985263197068
2017,Atlantic Region,Functional urban area,56267.0,446100.0,7.928270567117494,1.189240585067624
2017,Atlantic Region,Rural and small town area,37460.0,412100.0,11.00106780565937,1.6501601708489053
2017,British Columbia,Functional urban area,274858.0,397900.0,1.4476566081394757,0.21714849122092136
2017,British Columbia,Rural and small town area,33010.0,377300.0,11.429869736443502,1.7144804604665251
2017,Canada,Functional urban area,1599264.0,398400.0,0.24911459271264783,0.03736718890689717
2017,Canada,Rural and small town area,305348.0,441600.0,1.4462187405845135,0.216932811087677
2017,Manitoba,Functional urban area,38905.0,440000.0,11.309600308443645,1.6964400462665468
2017,Manitoba,Rural and small town area,15648.0,506500.0,32.368353783231086,4.855253067484663
2017,New Brunswick,Functional urban area,17354.0,454400.0,26.184165033997925,3.9276247550996883
2017,New Brunswick,Rural and small town area,11163.0,458700.0,41.09110454178984,6.163665681268475
2017,Newfoundland and Labrador,Functional urban area,10917.0,478600.0,43.8398827516717,6.575982412750755
2017,Newfoundland and Labrador,Rural and small town area,9082.0,381000.0,41.95111208984805,6.292666813477208
2017,Northwest Territories,Functional urban area,986.0,560700.0,568.6612576064908,85.29918864097363
2017,Northwest Territories,Rural and small town area,562.0,637600.0,1134.5195729537365,170.17793594306048
2017,Nova Scotia,Functional urban area,24094.0,426900.0,17.71810409230514,2.6577156138457707
2017,Nova Scotia,Rural and small town area,13626.0,391600.0,28.73917510641421,4.310876265962131
2017,Nunavut,Rural and small town area,490.0,735400.0,1500.8163265306123,225.12244897959184
2017,Ontario,Functional urban area,648934.0,389900.0,0.6008315175349112,0.09012472763023667
2017,Ontario,Rural and small town area,64260.0,438700.0,6.826953003423592,1.0240429505135387
2017,Prairies Region,Functional urban area,282261.0,415100.0,1.4706247055030628,0.22059370582545942
2017,Prairies Region,Rural and small town area,93786.0,482800.0,5.147889876953917,0.7721834815430875
2017,Prince Edward Island,Functional urban area,3902.0,436700.0,111.9169656586366,16.787544848795488
